Month,DayofMonth,Origin,Dest,O_Latitude,O_Longitude,D_Latitude,D_Longitude
2,29,SFO,LAS,37.61897222,-122.3748889,36.08005556,-115.15225
2,1,SFO,LAS,37.61897222,-122.3748889,36.08005556,-115.15225
2,3,SFO,LAS,37.61897222,-122.3748889,36.08005556,-115.15225
2,4,SFO,LAS,37.61897222,-122.3748889,36.08005556,-115.15225
2,5,SFO,LAS,37.61897222,-122.3748889,36.08005556,-115.15225
2,6,SFO,LAS,37.61897222,-122.3748889,36.08005556,-115.15225
2,7,SFO,LAS,37.61897222,-122.3748889,36.08005556,-115.15225
2,8,SFO,LAS,37.61897222,-122.3748889,36.08005556,-115.15225
2,9,SFO,LAS,37.61897222,-122.3748889,36.08005556,-115.15225
2,10,SFO,LAS,37.61897222,-122.3748889,36.08005556,-115.15225
2,12,SFO,LAS,37.61897222,-122.3748889,36.08005556,-115.15225
2,13,SFO,LAS,37.61897222,-122.3748889,36.08005556,-115.15225
2,14,SFO,LAS,37.61897222,-122.3748889,36.08005556,-115.15225
2,15,SFO,LAS,37.61897222,-122.3748889,36.08005556,-115.15225
2,16,SFO,LAS,37.61897222,-122.3748889,36.08005556,-115.15225
2,17,SFO,LAS,37.61897222,-122.3748889,36.08005556,-115.15225
2,18,SFO,LAS,37.61897222,-122.3748889,36.08005556,-115.15225
2,19,SFO,LAS,37.61897222,-122.3748889,36.08005556,-115.15225
2,20,SFO,LAS,37.61897222,-122.3748889,36.08005556,-115.15225
2,21,SFO,LAS,37.61897222,-122.3748889,36.08005556,-115.15225
2,22,SFO,LAS,37.61897222,-122.3748889,36.08005556,-115.15225
2,23,SFO,LAS,37.61897222,-122.3748889,36.08005556,-115.15225
2,24,SFO,LAS,37.61897222,-122.3748889,36.08005556,-115.15225
2,25,SFO,LAS,37.61897222,-122.3748889,36.08005556,-115.15225
2,27,SFO,LAS,37.61897222,-122.3748889,36.08005556,-115.15225
2,28,SFO,LAS,37.61897222,-122.3748889,36.08005556,-115.15225
2,29,SFO,LAS,37.61897222,-122.3748889,36.08005556,-115.15225
2,1,SFO,LAS,37.61897222,-122.3748889,36.08005556,-115.15225
2,1,SFO,LAS,37.61897222,-122.3748889,36.08005556,-115.15225
3,3,SFO,LAS,37.61897222,-122.3748889,36.08005556,-115.15225
3,4,SFO,LAS,37.61897222,-122.3748889,36.08005556,-115.15225
3,5,SFO,LAS,37.61897222,-122.3748889,36.08005556,-115.15225
3,5,SFO,LAS,37.61897222,-122.3748889,36.08005556,-115.15225
3,6,SFO,LAS,37.61897222,-122.3748889,36.08005556,-115.15225
3,7,SFO,LAS,37.61897222,-122.3748889,36.08005556,-115.15225
3,7,SFO,LAS,37.61897222,-122.3748889,36.08005556,-115.15225
3,8,SFO,LAS,37.61897222,-122.3748889,36.08005556,-115.15225
3,9,SFO,LAS,37.61897222,-122.3748889,36.08005556,-115.15225
3,10,SFO,LAS,37.61897222,-122.3748889,36.08005556,-115.15225
3,10,SFO,LAS,37.61897222,-122.3748889,36.08005556,-115.15225
3,11,SFO,LAS,37.61897222,-122.3748889,36.08005556,-115.15225
3,12,SFO,LAS,37.61897222,-122.3748889,36.08005556,-115.15225
3,13,SFO,LAS,37.61897222,-122.3748889,36.08005556,-115.15225
3,13,SFO,LAS,37.61897222,-122.3748889,36.08005556,-115.15225
3,14,SFO,LAS,37.61897222,-122.3748889,36.08005556,-115.15225
3,15,SFO,LAS,37.61897222,-122.3748889,36.08005556,-115.15225
3,15,SFO,LAS,37.61897222,-122.3748889,36.08005556,-115.15225
3,16,SFO,LAS,37.61897222,-122.3748889,36.08005556,-115.15225
3,17,SFO,LAS,37.61897222,-122.3748889,36.08005556,-115.15225
3,18,SFO,LAS,37.61897222,-122.3748889,36.08005556,-115.15225
3,18,SFO,LAS,37.61897222,-122.3748889,36.08005556,-115.15225
3,19,SFO,LAS,37.61897222,-122.3748889,36.08005556,-115.15225
3,20,SFO,LAS,37.61897222,-122.3748889,36.08005556,-115.15225
3,20,SFO,LAS,37.61897222,-122.3748889,36.08005556,-115.15225
3,21,SFO,LAS,37.61897222,-122.3748889,36.08005556,-115.15225
3,22,SFO,LAS,37.61897222,-122.3748889,36.08005556,-115.15225
3,23,SFO,LAS,37.61897222,-122.3748889,36.08005556,-115.15225
3,23,SFO,LAS,37.61897222,-122.3748889,36.08005556,-115.15225
3,24,SFO,LAS,37.61897222,-122.3748889,36.08005556,-115.15225
3,25,SFO,LAS,37.61897222,-122.3748889,36.08005556,-115.15225
3,25,SFO,LAS,37.61897222,-122.3748889,36.08005556,-115.15225
3,26,SFO,LAS,37.61897222,-122.3748889,36.08005556,-115.15225
3,27,SFO,LAS,37.61897222,-122.3748889,36.08005556,-115.15225
3,28,SFO,LAS,37.61897222,-122.3748889,36.08005556,-115.15225
3,28,SFO,LAS,37.61897222,-122.3748889,36.08005556,-115.15225
3,29,SFO,LAS,37.61897222,-122.3748889,36.08005556,-115.15225
3,30,SFO,LAS,37.61897222,-122.3748889,36.08005556,-115.15225
3,30,SFO,LAS,37.61897222,-122.3748889,36.08005556,-115.15225
3,31,SFO,LAS,37.61897222,-122.3748889,36.08005556,-115.15225
3,3,SFO,LAS,37.61897222,-122.3748889,36.08005556,-115.15225
3,8,SFO,LAS,37.61897222,-122.3748889,36.08005556,-115.15225
3,13,SFO,LAS,37.61897222,-122.3748889,36.08005556,-115.15225
3,18,SFO,LAS,37.61897222,-122.3748889,36.08005556,-115.15225
3,23,SFO,LAS,37.61897222,-122.3748889,36.08005556,-115.15225
3,28,SFO,LAS,37.61897222,-122.3748889,36.08005556,-115.15225
3,4,SFO,LAS,37.61897222,-122.3748889,36.08005556,-115.15225
3,11,SFO,LAS,37.61897222,-122.3748889,36.08005556,-115.15225
3,18,SFO,LAS,37.61897222,-122.3748889,36.08005556,-115.15225
3,25,SFO,LAS,37.61897222,-122.3748889,36.08005556,-115.15225
3,31,SFO,LAS,37.61897222,-122.3748889,36.08005556,-115.15225
3,5,SFO,LAS,37.61897222,-122.3748889,36.08005556,-115.15225
3,10,SFO,LAS,37.61897222,-122.3748889,36.08005556,-115.15225
3,15,SFO,LAS,37.61897222,-122.3748889,36.08005556,-115.15225
3,20,SFO,LAS,37.61897222,-122.3748889,36.08005556,-115.15225
3,25,SFO,LAS,37.61897222,-122.3748889,36.08005556,-115.15225
3,30,SFO,LAS,37.61897222,-122.3748889,36.08005556,-115.15225
3,5,SFO,LAS,37.61897222,-122.3748889,36.08005556,-115.15225
3,11,SFO,LAS,37.61897222,-122.3748889,36.08005556,-115.15225
3,17,SFO,LAS,37.61897222,-122.3748889,36.08005556,-115.15225
3,23,SFO,LAS,37.61897222,-122.3748889,36.08005556,-115.15225
3,28,SFO,LAS,37.61897222,-122.3748889,36.08005556,-115.15225
3,4,SFO,LAS,37.61897222,-122.3748889,36.08005556,-115.15225
3,9,SFO,LAS,37.61897222,-122.3748889,36.08005556,-115.15225
3,14,SFO,LAS,37.61897222,-122.3748889,36.08005556,-115.15225
