Month,DayofMonth,Origin,Dest,O_State,O_Latitude,O_Longitude,D_State,D_Latitude,D_Longitude
4,25,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
4,1,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
4,3,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
4,5,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
4,7,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
4,10,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
4,12,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
4,14,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
4,16,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
4,18,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
4,20,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
4,22,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
4,24,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
4,26,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
4,28,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
4,30,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
4,2,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
5,3,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
5,5,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
5,6,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
5,7,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
5,9,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
5,10,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
5,12,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
5,13,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
5,15,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
5,16,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
5,17,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
5,19,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
5,20,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
5,22,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
5,23,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
5,25,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
5,26,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
5,28,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
5,29,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
5,30,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
5,3,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
5,13,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
5,23,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
5,2,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
5,14,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
5,25,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
5,5,SFO,LAS,California,37.61897222,-122.3748889,Nevada,36.08005556,-115.15225
